id,google_organizer_id,cerbero_organizer_id,telegram_user_id,facebook_organizer_id
149,149,,,116.0
2,2,,,
150,150,,,117.0
8,8,,,
7738,7738,,,7295.0
17,17,,,
18,18,,,
19,19,,,
7764,7764,,,7313.0
22,22,,,
27,27,,,
33,33,,,
40,40,,,
4787,4787,,,
51,51,,,
4789,4789,,,
53,53,,,
7776,7776,,,7321.0
59,59,,,
4792,4792,,,
67,67,,,
68,68,,,
7785,7785,,,7328.0
85,85,,,
90,90,,,
96,96,,,
7791,7791,,,7332.0
98,98,,,
99,99,,,
102,102,,,
104,104,,,
106,106,,,
110,110,,,
116,116,,,
4803,4803,,,
118,118,,,
151,151,,,118.0
152,152,,,119.0
154,154,,,121.0
123,123,,,
155,155,,,122.0
157,157,,,124.0
158,158,,,125.0
160,160,,,126.0
161,161,,,127.0
163,163,,,129.0
130,130,,,
165,165,,,130.0
132,132,,,
166,166,,,131.0
167,167,,,132.0
135,135,,,
169,169,,,134.0
170,170,,,135.0
138,138,,,
171,171,,,136.0
172,172,,,137.0
175,175,,,139.0
142,142,,,
176,176,,,140.0
177,177,,,141.0
179,179,,,142.0
181,181,,,144.0
182,182,,,145.0
183,183,,,146.0
4076,4076,,,2926.0
4080,4080,,,2930.0
4103,4103,,,2949.0
164,164,,,
4110,4110,,,2952.0
173,173,,,
4116,4116,,,2956.0
178,178,,,
4122,4122,,,2960.0
4127,4127,,,2963.0
4131,4131,,,2967.0
4167,4167,,,2993.0
4170,4170,,,2996.0
4176,4176,,,3000.0
189,189,,,
4180,4180,,,3004.0
4185,4185,,,3007.0
4189,4189,,,3011.0
4203,4203,,,3021.0
4234,4234,,,3044.0
4235,4235,,,3045.0
4239,4239,,,3047.0
4247,4247,,,3051.0
4248,4248,,,3052.0
199,199,,,
4251,4251,,,3053.0
4252,4252,,,3054.0
4253,4253,,,3055.0
4254,4254,,,3056.0
4255,4255,,,3057.0
4277,4277,,,3075.0
4278,4278,,,3076.0
4279,4279,,,3077.0
208,208,,,
4280,4280,,,3078.0
4281,4281,,,3079.0
4282,4282,,,3080.0
4780,4780,,,3164.0
